Country,Time,Year,Budget Deficit/Surplus,Capital Expenditure,Consumer Price Index (CPI),Defence Expenditure,Education Expenditure,Expenditure,Exports,Food Inflation ,Food Inflation YoY,GDP Growth Rate,GDP per Capita,GDP per Capita ,GDP per capita,Government Debt,Health Expenditure,Imports,Inflation Rate,Inflation Rate ,Interest Rate,Labour Force,Nominal GDP,Population,Real GDP,Revenue,Tax Revenue,Unemployment Rate,Value Added Tax (VAT)
Algeria,1977-01-01,1977.0,,,,,,,6.0,,,,,,,,,-6.21,,,,,,,,,,,
Algeria,1978-01-01,1978.0,,,,,,,6.3,,,,,,,,,-7.32,,,,,,,,,,,
Algeria,1979-01-01,1979.0,,,,,,,9.5,,,,,,,,,-7.82,,,,,,,,,,,
Algeria,1980-01-01,1980.0,,,,,,,13.7,,,,,,,,,-9.61,,,,,,,,,,,
Algeria,1981-01-01,1981.0,,,,,,,14.1,,,,,,,,,-10.11,,,,,,,,,,,
Algeria,1982-01-01,1982.0,,,,,,,13.5,,,,,,,,,-9.92,,,,,,,,,,,
Algeria,1983-01-01,1983.0,,,,,,,12.7,,,,,,,,,-9.54,,,,,,,,,,,
Algeria,1984-01-01,1984.0,,,,,,,12.8,,,,,,,,,-9.24,,,,,,,,,,,
Algeria,1985-01-01,1985.0,,,,,,,13.0,,,,,,,,,-8.81,,,,,,,,,,,
Algeria,1986-01-01,1986.0,,,,,,,8.1,,,,,,,,,-8.53,,,,,,,,,,,
Algeria,1987-01-01,1987.0,,,,,,,9.0,,,,,,,,,-7.27,,,,,,,,,,,
Algeria,1988-01-01,1988.0,,,,,,,7.6,,,,,,,,,-7.69,,,,,,,,,,,
Algeria,1989-01-01,1989.0,,,,,,,9.6,,,,,,,,,-9.47,,,,,,,,,,,
Algeria,1990-01-01,1990.0,,,,,,,12.9,,,,,,,,,-9.77,,,,,,,,,,,
Algeria,1991-01-01,1991.0,,,,,,,12.4,,,,,,,,,-7.77,,,,,,,,,,,
Algeria,1992-01-01,1992.0,,,,,,,11.5,,,,,,,,,-8.3,,,,,,,,,,,
Algeria,1993-01-01,1993.0,,,,,,,10.4,,,,,,,,,-7.99,,,,,,,,,,,
Algeria,1994-01-01,1994.0,,,,,,,8.9,,,,,,,,,-9.15,,,,,,,,,,,
Algeria,1995-01-01,1995.0,,,,,,,10.3,,,,,,,,,-10.1,,,,,,,,,,,
Algeria,1996-01-01,1996.0,,,,,,,13.2,,,,,,,,,-9.09,,,,,,,,,,,
Algeria,1997-01-01,1997.0,,,,,,,13.8,,,,,,,,,-8.13,,,,,,,,,,,
Algeria,1998-01-01,1998.0,,,,,,,10.1,,,,,,,,,-8.63,,,,,,,,,,,
Algeria,1999-01-01,1999.0,,,,,,,12.3,,,,,,,,,-8.96,,,,,,,,,,,
Algeria,2000-01-01,2000.0,,,,,,,21.7,,,,,,,,,-9.35,,,,,,,,,,,
Algeria,2001-01-01,2001.0,,,,,,,19.1,,,,,,,,,-9.48,,,,,2884246.4,,,,,,
Algeria,2001-04-01,2001.0,,,,,,,,,,,,,,,,,,,,,1205163.4,,,,,,
Algeria,2001-07-01,2001.0,,,,,,,,,,,,,,,,,,,,,1098948.5,,,,,,
Algeria,2001-10-01,2001.0,,,,,,,,,,,,,,,,,,,,,1102609.3,,,,,,
Algeria,2002-01-01,2002.0,,,101.74,,,,18.7,,,3.95,,,,,,-12.01,,,,,3037971.1,,,,,,
Algeria,2002-02-01,2002.0,,,102.16,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2002-03-01,2002.0,,,101.94,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2002-04-01,2002.0,,,101.34,,,,,,,5.9,,,,,,,,,,,1250181.8,,,,,,
Algeria,2002-05-01,2002.0,,,100.61,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2002-06-01,2002.0,,,99.94,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2002-07-01,2002.0,,,100.69,,,,,,,5.4,,,,,,,,,,,1191969.9,,,,,,
Algeria,2002-08-01,2002.0,,,101.11,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2002-09-01,2002.0,,,101.42,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2002-10-01,2002.0,,,101.74,,,,,,,7.8,,,,,,,,,,,1285346.1,,,,,,
Algeria,2002-11-01,2002.0,,,102.4,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2002-12-01,2002.0,,,102.1,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-01-01,2003.0,,,101.48,,,,24.5,,,6.15,,,,,,-13.32,,,,,3545881.4,,,,,,
Algeria,2003-02-01,2003.0,,,103.46,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-03-01,2003.0,,,103.01,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-04-01,2003.0,,,103.5,,,,,,,6.0,,,,,,,,,,,1416449.3,,,,,,
Algeria,2003-05-01,2003.0,,,104.49,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-06-01,2003.0,,,106.34,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-07-01,2003.0,,,106.52,,,,,,,6.5,,,,,,,,,,,1374258.0,,,,,,
Algeria,2003-08-01,2003.0,,,107.57,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-09-01,2003.0,,,107.77,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-10-01,2003.0,,,108.54,,,,,,,7.7,,,,,,,,,,,1491845.9,,,,,,
Algeria,2003-11-01,2003.0,,,108.6,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2003-12-01,2003.0,,,107.78,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2004-01-01,2004.0,,,108.96,,,,32.2,4.55,,5.95,,,,,,-17.95,,4.9,,,4102835.7,,,,,,
Algeria,2004-02-01,2004.0,,,108.88,,,,,5.11,,,,,,,,,,5.23,,,,,,,,,
Algeria,2004-03-01,2004.0,,,110.04,,,,,6.01,,,,,,,,,,5.71,,,,,,,,,
Algeria,2004-04-01,2004.0,,,110.29,,,,,6.65,,5.1,,,,,,,,6.08,,,1658469.5,,,,,,
Algeria,2004-05-01,2004.0,,,109.74,,,,,6.78,,,,,,,,,,6.18,,,,,,,,,
Algeria,2004-06-01,2004.0,,,109.21,,,,,6.36,,,,,,,,,,5.86,,,,,,,,,
Algeria,2004-07-01,2004.0,,,109.36,,,,,6.2,,5.0,,,,,,,,5.59,,,1694038.3,,,,,,
Algeria,2004-08-01,2004.0,,,109.11,,,,,5.76,,,,,,,,,,5.16,,,,,,,,,
